gene	EarlyMean	PreMeiMean	MeiMean	DICMean
ABHD14B	34.8188765603329	4.13164021164021	0.380935960591133	2.67900621118013
ABHD15	0	0	0	0
ABHD16A	138.09205963939	77.2843386243386	94.7879310344828	50.4086335403727
ABHD16B	0	0	0	0
ABHD17A	1.57166435506241	0.557671957671958	1.27238916256158	1.01639751552795
ABHD17B	0.436317614424411	4.0294708994709	9.0754433497537	9.30459627329193
ABHD17C	0.0549029126213593	8.01301587301587	2.69987684729064	1.85086956521739
ABHD2	12.0952704576976	10.1508465608466	4.58369458128079	101.481366459627
ABHD3	18.1812968099861	19.4967195767196	4.70810344827586	56.1878260869565
ABHD4	10.1689181692094	0	0	0
ABHD5	19.3641539528433	40.1448148148148	80.4243842364532	71.8063354037267
ABHD6	1.53508321775312	0	0	0
ABHD8	0	0.202645502645503	0	0
ABI1	41.9509916782247	14.5849206349206	23.8770443349754	51.859751552795
ABI2	90.1486199722607	151.764761904762	93.6354679802956	111.839440993789
ABI3	0	0	0	0
ABI3BP	0	0	0	0
ABL1	12.9189389736477	5.92111111111111	9.88364532019705	19.1926086956522
ABL2	41.5659084604716	54.7153439153439	69.1870443349754	79.6453416149069
ABLIM1	0.00368932038834957	2.26989417989418	1.57312807881773	52.4377639751553
ABLIM2	0	0	0	26.6501242236025
ABLIM3	0	0	1.84669950738916	1.00124223602485
ABO	0	0	0	0
ABR	14.769278779473	10.0072486772487	5.63864532019705	7.28074534161491
ABRA	0	0	0	0
ABRACL	88.5428224687933	10.507619047619	4.79901477832512	3.8972049689441
ABT1	140.278134535368	77.6784656084656	72.8769458128079	49.0642236024845
ABTB1	8.07995839112344	6.17915343915344	0.191502463054187	0.478074534161491
ABTB2	2.46372399445215	0.495502645502646	0.299630541871921	3.05285714285715
ACAA1	8.03273925104022	40.4868253968254	33.8601724137931	45.5359627329193
ACAA2	101.688626907074	161.648465608466	200.268325123153	101.757763975155
ACACA	19.915721220527	51.4089947089947	38.2472906403941	25.6822360248447
ACACB	0	0	0	0.150496894409938
ACAD10	3.9953120665742	6.02566137566138	5.47435960591133	5.57254658385093
ACAD11	0	0	0	0
ACAD8	26.1857697642164	63.2308994708995	39.9845320197044	29.4467080745342
ACAD9	28.0001248266297	34.9657142857143	46.4581280788177	51.5037267080745
ACADL	0	0	0.602068965517242	0
ACADM	238.460013869626	266.891693121693	308.540886699507	282.886149068323
ACADS	34.9011095700416	0.382169312169312	0	5.10291925465839
ACADSB	1.44899445214979	8.82761904761905	4.1562315270936	2.83701863354037
ACADVL	78.7344382801664	78.8937566137566	105.720443349754	75.5087577639752
ACAN	0	6.11656084656085	0.00689655172413797	0
ACAP1	0	0	0.0820443349753696	0
ACAP2	129.173148404993	83.9841798941799	186.133743842365	188.498881987578
ACAP3	0	1.42973544973545	0.119753694581281	4.23018633540373
ACAT1	74.8566227461858	113.236666666667	29.3895320197044	667.483788819876
ACAT2	15.880721220527	22.4188888888889	5.72012315270936	7.99745341614907
ACBD3	56.9328779472954	76.6791005291005	189.616206896552	131.339440993789
ACBD4	0.113370319001387	0	0	0.00869565217391307
ACBD5	2.73923023578363	5.93798941798942	9.64450738916256	6.91260869565218
ACBD6	43.9330305131761	58.5680423280423	45.9499753694581	56.8973291925466
ACBD7	0.0127323162274619	0.296931216931217	0.0880295566502464	2.7011801242236
